deal_qualilty,hyperlink,mile,name,object,other_attributes,price,self.year
GREAT DEAL,https://www.cars.com/vehicledetail/detail/730589392/overview/,"50,154 mi.",2014 Mercedes-Benz GLK 350 4MATIC,,"Exterior Color: Black,Interior Color: Black,Transmission: 7-Speed Automatic,Drivetrain: AWD","$18,995",2014
GREAT DEAL,https://www.cars.com/vehicledetail/detail/730126745/overview/,"38,343 mi.",2014 Toyota RAV4 XLE,,"Exterior Color: Black,Interior Color: Tan,Transmission: 6-Speed Automatic,Drivetrain: AWD","$15,995",2014
GOOD DEAL,https://www.cars.com/vehicledetail/detail/730500776/overview/,"59,926 mi.",2014 Ford Escape SE,,"Exterior Color: Black,Interior Color: Gray,Transmission: Automatic,Drivetrain: All Wheel Drive","$13,200",2014
GREAT DEAL,https://www.cars.com/vehicledetail/detail/726708288/overview/,"81,101 mi.",2014 Chevrolet Equinox 1LT,,"Exterior Color: Black,Interior Color: Gray,Transmission: Automatic,Drivetrain: Four Wheel Drive","$11,400",2014
GREAT DEAL,https://www.cars.com/vehicledetail/detail/718052235/overview/,"45,012 mi.",2014 Jeep Cherokee Limited,,"Exterior Color: White,Interior Color: Black,Transmission: 9-Speed Automatic,Drivetrain: 4WD","$15,890",2014
GREAT DEAL,https://www.cars.com/vehicledetail/detail/727324308/overview/,"113,076 mi.",2014 Ford Edge SE,,"Exterior Color: Black,Interior Color: Black,Transmission: 6-Speed Automatic,Drivetrain: FWD","$9,200",2014
GREAT DEAL,https://www.cars.com/vehicledetail/detail/729260446/overview/,"98,525 mi.",2014 Jeep Grand Cherokee Laredo,,"Exterior Color: Gold,Interior Color: Sepia,Transmission: 8-Speed Automatic,Drivetrain: 4WD","$14,300",2014
GREAT DEAL,https://www.cars.com/vehicledetail/detail/730651795/overview/,"51,542 mi.",2014 Ford Escape SE,,"Exterior Color: Tuxedo Black,Interior Color: Medium Light Stone,Transmission: 6-Speed Automatic,Drivetrain: 4WD","$12,998",2014
GREAT DEAL,https://www.cars.com/vehicledetail/detail/730763651/overview/,"81,681 mi.",2014 Ford Explorer Limited,,"Exterior Color: Tuxedo Black Metallic,Interior Color: Charcoal Black,Transmission: 6-Speed Automatic,Drivetrain: 4WD","$16,991",2014
GREAT DEAL,https://www.cars.com/vehicledetail/detail/730601863/overview/,"43,796 mi.",2014 BMW X1 xDrive 28i,,"Exterior Color: Blue,Transmission: 8-Speed Automatic,Drivetrain: AWD","$15,595",2014
